"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000237429.1"	5	9	10	8	5	0	5	1	3
"ENSG00000126705.15"	995	970	1024	957	819	689	640	618	662
"ENSG00000126709.15"	26	10	6	13	8	3	9	13	5
"ENSG00000009780.16"	181	157	187	80	141	130	47	92	72
"ENSG00000117758.14"	527	513	678	487	596	679	260	421	486
"ENSG00000269971.1"	24	23	25	17	19	10	7	11	12
"ENSG00000117751.18"	321	306	328	154	225	271	159	176	158
"ENSG00000252947.1"	81	61	78	62	55	59	68	46	26
"ENSG00000117748.10"	360	396	430	260	352	357	219	237	233
"ENSG00000130768.15"	295	277	268	238	311	257	199	231	167
"ENSG00000158156.9"	475	452	399	320	290	292	231	267	151
"ENSG00000158161.16"	486	474	592	413	582	504	255	441	386
"ENSG00000238231.2"	12	4	5	5	9	12	7	3	9
"ENSG00000126698.11"	671	695	690	747	855	833	515	670	553
"ENSG00000130770.18"	910	885	1020	765	840	790	555	540	572
"ENSG00000130766.5"	1333	1022	978	1085	1036	833	671	622	607
"ENSG00000130772.14"	131	108	113	53	74	45	55	41	36
"ENSG00000204138.13"	1613	1458	1758	1213	1359	1327	929	1101	864
"ENSG00000229820.2"	14	7	19	2	4	6	1	2	4
"ENSG00000221216.1"	7	11	11	4	2	9	4	7	9
"ENSG00000180198.16"	638	465	538	522	485	610	502	425	331
"ENSG00000242125.3"	1313	1003	1139	1194	909	1086	903	836	881
"ENSG00000200087.1"	5716	4631	4565	5400	4808	5708	6126	3703	3083
"ENSG00000279443.1"	16	5	11	7	4	6	12	11	3
"ENSG00000180098.9"	178	161	158	189	220	180	134	141	130
"ENSG00000197989.14"	165	104	118	164	125	158	119	105	121
"ENSG00000120656.12"	88	78	95	64	81	62	45	41	47
"ENSG00000188060.7"	28	23	17	10	20	28	22	27	18
"ENSG00000162419.12"	194	216	223	108	143	142	82	121	82
"ENSG00000198492.16"	928	884	915	748	977	861	605	678	651
"ENSG00000159023.21"	1257	1275	1553	1019	1483	1090	523	893	941
"ENSG00000253304.2"	16	13	18	11	8	4	7	6	7
"ENSG00000116350.17"	1229	1145	1191	1221	1501	1303	810	1048	985
"ENSG00000116353.16"	177	188	215	78	123	85	44	64	69
"ENSG00000060656.20"	3758	3094	2950	2583	2141	2098	1674	1664	1479
"ENSG00000186056.10"	83	64	47	43	33	25	34	30	29
"ENSG00000162511.8"	233	212	145	350	242	176	209	194	120
"ENSG00000162512.16"	156	132	107	123	73	84	94	69	62
"ENSG00000134644.16"	2719	2937	3229	3096	3970	3661	1762	2610	2720
"ENSG00000060688.13"	428	355	420	275	350	378	229	254	278
"ENSG00000229447.2"	11	9	24	9	14	10	7	12	7
"ENSG00000121766.16"	73	72	99	68	70	97	41	65	67
"ENSG00000168528.12"	3640	3044	2743	3667	3079	2672	2443	2200	1994
"ENSG00000284543.1"	14	12	8	23	6	9	7	2	10
"ENSG00000229167.2"	25	15	24	29	25	13	9	8	19
"ENSG00000142910.16"	963	404	416	1697	706	557	605	510	1032
"ENSG00000162517.13"	636	596	515	729	746	525	426	468	341
"ENSG00000121753.12"	12	16	10	19	8	6	12	18	9
"ENSG00000134668.12"	23	15	13	14	6	4	13	8	6
"ENSG00000203620.2"	50	54	39	27	34	43	33	36	25
