"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"hsa-miR-27b-3p_hsa-mir-27b"	217585	193509	203523	230827	113296	46256	73965	66463	92475
"hsa-miR-28-5p_hsa-mir-28"	7834	8256	8980	13020	5044	2054	2587	2681	3579
"hsa-miR-28-3p_hsa-mir-28"	104405	112507	125656	100545	62688	37121	39941	36291	54652
"hsa-miR-29a-5p_hsa-mir-29a"	21	23	14	26	9	12	7	8	12
"hsa-miR-29a-3p_hsa-mir-29a"	7394	8408	9282	4724	5167	2852	1941	2366	3422
"hsa-miR-29b-1-5p_hsa-mir-29b-1"	34	11	11	14	3	0	0	1	3
"hsa-miR-29b-3p_hsa-mir-29b-1"	534	569	557	418	296	127	136	162	250
"hsa-miR-29b-3p_hsa-mir-29b-2"	534	569	557	418	296	127	136	162	250
"hsa-miR-29b-2-5p_hsa-mir-29b-2"	9	7	5	7	4	0	12	1	4
"hsa-miR-29c-5p_hsa-mir-29c"	56	46	78	65	48	25	27	11	26
"hsa-miR-29c-3p_hsa-mir-29c"	4450	4643	5453	2641	2935	1586	1167	1412	1861
"hsa-miR-301a-5p_hsa-mir-301a"	27	34	15	28	14	1	3	11	5
"hsa-miR-301a-3p_hsa-mir-301a"	20604	16220	13673	19270	9661	4166	6935	5442	6000
"hsa-miR-301b-3p_hsa-mir-301b"	8193	6976	6176	9377	4267	1567	3050	2452	2744
"hsa-miR-3065-5p_hsa-mir-3065"	16	6	6	16	8	1	1	4	6
"hsa-miR-3065-3p_hsa-mir-3065"	24	21	25	15	11	7	11	11	15
"hsa-miR-3074-5p_hsa-mir-3074"	31	24	27	45	24	14	5	9	6
"hsa-miR-3074-3p_hsa-mir-3074"	12	10	23	9	11	7	10	1	7
"hsa-miR-30a-5p_hsa-mir-30a"	9783	9058	9815	10002	5393	1795	2998	2602	3701
"hsa-miR-30a-3p_hsa-mir-30a"	751	668	818	783	386	219	258	216	334
"hsa-miR-30b-5p_hsa-mir-30b"	24728	24652	26060	39906	14078	5552	8639	7652	11077
"hsa-miR-30b-3p_hsa-mir-30b"	100	95	76	58	36	15	16	20	22
"hsa-miR-30c-5p_hsa-mir-30c-1"	35563	29001	38370	47748	19539	10725	12400	9657	16475
"hsa-miR-30c-1-3p_hsa-mir-30c-1"	243	204	306	338	136	71	111	89	105
"hsa-miR-30c-5p_hsa-mir-30c-2"	35587	29022	38387	47766	19550	10738	12403	9662	16482
"hsa-miR-30c-2-3p_hsa-mir-30c-2"	20	6	21	13	3	4	5	7	10
"hsa-miR-30d-5p_hsa-mir-30d"	247377	247007	234853	180617	129301	70115	67698	65750	85885
"hsa-miR-30d-3p_hsa-mir-30d"	1010	1042	1019	1098	523	208	319	269	379
"hsa-miR-30e-5p_hsa-mir-30e"	132055	118851	123138	131463	66539	26106	38056	32592	47436
"hsa-miR-30e-3p_hsa-mir-30e"	6905	6596	7529	6519	3851	1879	2132	2157	3098
"hsa-miR-31-5p_hsa-mir-31"	1795	1572	2046	1690	895	604	494	576	879
"hsa-miR-31-3p_hsa-mir-31"	8	5	9	9	2	1	4	3	6
"hsa-miR-3116_hsa-mir-3116-1"	8	12	9	6	5	1	3	2	1
"hsa-miR-3116_hsa-mir-3116-2"	8	12	9	6	5	1	3	2	1
"hsa-miR-3129-3p_hsa-mir-3129"	13	10	17	35	7	6	5	4	12
"hsa-miR-3130-5p_hsa-mir-3130-1"	6	16	6	4	8	3	6	2	6
"hsa-miR-3130-5p_hsa-mir-3130-2"	8	16	6	4	8	3	7	2	6
"hsa-miR-3131_hsa-mir-3131"	70	42	32	32	23	18	13	13	27
"hsa-miR-3139_hsa-mir-3139"	22	8	18	18	6	0	3	1	6
"hsa-miR-3150b-3p_hsa-mir-3150b"	28	34	26	22	13	6	4	5	9
"hsa-miR-3157-3p_hsa-mir-3157"	18	20	17	27	9	3	5	3	2
"hsa-miR-3158-3p_hsa-mir-3158-1"	51	39	39	72	30	6	26	15	20
"hsa-miR-3158-3p_hsa-mir-3158-2"	51	39	39	72	30	6	26	15	20
"hsa-miR-3176_hsa-mir-3176"	191	192	186	249	113	52	55	51	93
"hsa-miR-3177-3p_hsa-mir-3177"	13	11	21	26	15	6	9	10	12
"hsa-miR-3194-5p_hsa-mir-3194"	19	10	10	21	3	7	3	3	6
"hsa-miR-32-5p_hsa-mir-32"	729	782	931	947	517	208	244	261	361
"hsa-miR-32-3p_hsa-mir-32"	159	120	156	95	42	17	39	24	47
"hsa-miR-3200-3p_hsa-mir-3200"	61	51	41	30	30	8	16	14	21
"hsa-miR-320a-3p_hsa-mir-320a"	12164	11691	11517	13257	6522	3453	3887	3400	5013
"hsa-miR-320b_hsa-mir-320b-1"	411	399	403	586	231	121	205	138	196
"hsa-miR-320b_hsa-mir-320b-2"	438	415	430	619	249	127	208	139	194
"hsa-miR-320c_hsa-mir-320c-1"	103	119	117	142	59	30	47	31	44
"hsa-miR-320c_hsa-mir-320c-2"	129	138	134	158	87	34	54	40	57
"hsa-miR-320d_hsa-mir-320d-1"	70	79	95	94	43	26	25	26	36
"hsa-miR-320d_hsa-mir-320d-2"	58	72	88	91	39	23	23	26	35
"hsa-miR-324-5p_hsa-mir-324"	110	81	75	88	59	19	50	24	27
"hsa-miR-324-3p_hsa-mir-324"	38	30	56	62	24	17	17	15	20
"hsa-miR-326_hsa-mir-326"	129	133	132	173	77	61	42	50	80
